osmid,lat,lon
1026970893,40.9648566,28.8350972
1026971224,40.9641084,28.8344383
1026971259,40.9660614,28.8374135
1026971426,40.97012,28.8424565
1026971731,40.9660941,28.8372628
1026991640,40.9861323,28.8278867
1026991681,40.9854908,28.8256934
1026991686,40.9859406,28.8279715
1026991720,40.985334,28.8259878
1026991721,40.9857931,28.8273651
1026991729,40.9843321,28.8225347
1027174293,40.9626397,28.8305844
1027174298,40.9628989,28.8307232
1027174300,40.9629947,28.8307017
1027174302,40.9636772,28.8305331
1027174309,40.9625182,28.8291841
1027174313,40.9630906,28.8288317
1027174317,40.9635176,28.830056
1027174347,40.9862275,28.796602
1027174349,40.985977,28.7964992
1027174357,40.9862155,28.7966927
1027174372,40.987438,28.7973829
1027174376,40.9886103,28.798157
1027174377,40.9888486,28.7983335
1027174384,40.9835212,28.7950349
1027174386,40.9811823,28.79361
1027174457,40.9871286,28.7973532
1027174511,40.9636583,28.8301299
1027174546,40.9641763,28.8148884
1027174617,40.9854843,28.8000483
1027174703,40.968102,28.8049573
1027174707,40.9665783,28.8058871
1027174754,40.9633781,28.8206681
1027174790,40.9639126,28.8323538
1027197593,40.9706159,28.8433646
1027243094,40.9578691,28.8295329
1027243096,40.9589382,28.8297647
1027243097,40.9598273,28.8299753
1027243099,40.9608462,28.8300751
1027243101,40.9615279,28.8301485
1027243103,40.9623216,28.8302363
1027243110,40.9568115,28.82882
1027243174,40.957513,28.8290388
1027243175,40.9579309,28.8291616
1027243190,40.9576188,28.8284093
1027243193,40.9574306,28.8294369
1027243196,40.9579795,28.8288814
1027243198,40.9598649,28.8291378
1027243199,40.9608981,28.8292521
1027243201,40.9615684,28.8293279
1027243203,40.9622384,28.8294073
1027243216,40.9624796,28.8312733
1027243219,40.9614529,28.8311684
1027243220,40.9607843,28.8310947
1027243227,40.959759,28.8309945
1027243229,40.9588331,28.8308524
1027243232,40.9576456,28.8307401
1027243236,40.9588772,28.8301517
1027243237,40.9587771,28.8317435
1027243238,40.9587265,28.8325473
1027243240,40.9586692,28.8334583
1027243245,40.957804,28.8299399
1027243271,40.9577006,28.8317965
1027243294,40.9629447,28.8338614
1027243297,40.9622613,28.8338119
1027243314,40.9612609,28.8337175
1027243315,40.9606129,28.8336285
1027243317,40.9595872,28.8335169
1027243321,40.958521,28.8335935
1027243331,40.9574346,28.8335948
1027243334,40.9581729,28.8329383
1027243347,40.9577679,28.8321471
1027243354,40.9579229,28.8324573
1027243358,40.9596349,28.8326823
1027243361,40.9606655,28.8328049
1027243362,40.9613203,28.8328671
1027243365,40.9623069,28.8329938
1027243367,40.9628638,28.8330597
1027243378,40.9626562,28.8321595
1027243382,40.9613697,28.832073
1027243383,40.9607221,28.8319923
1027243388,40.9596905,28.831842
1027243392,40.9576851,28.8316257
1027243407,40.9621634,28.8355585
1027243410,40.9611482,28.8354779
1027243411,40.9605135,28.8354261
1027243414,40.9594697,28.835442
1027243416,40.958871,28.8358274
1027243430,40.9622276,28.8346368
1027243446,40.9630477,28.8347422
1027243447,40.9612214,28.8345333
1027243449,40.9605744,28.8344803
1027243452,40.9595267,28.8343801
1027243453,40.9589021,28.8343239
1027243462,40.9613347,28.8217209
1027243466,40.9611825,28.8243194
1027243476,40.9603716,28.837232
1027243494,40.9621743,28.8250853
1027243497,40.9602167,28.8236843
1027243504,40.9592676,28.823024
1027243582,40.9585889,28.837803
1027243587,40.959701,28.8378713
1027243640,40.9596495,28.8360149
1027243649,40.9587373,28.8388209
1027243651,40.9611065,28.8365582
